,Countries,Year,avg
0,Australia,2000,546.25122288441
1,Austria,2000,509.168003287529
2,Belgium,2000,525.208511979804
3,Canada,2000,551.133144078454
4,Chile,2000,421.101175025646
5,Colombia,2000,
6,Czech Republic,2000,510.081929856681
7,Denmark,2000,510.24625178064
8,Estonia,2000,
9,Finland,2000,571.363658461519
10,France,2000,519.06292378662
11,Germany,2000,502.197894059485
12,Greece,2000,492.719487689681
13,Hungary,2000,496.167592133128
14,Iceland,2000,528.128966808457
15,Ireland,2000,541.518331473517
16,Israel,2000,459.393287324821
17,Italy,2000,507.369513497781
18,Japan,2000,536.912204277908
19,Korea,2000,532.715624397405
20,Latvia,2000,484.710510802194
21,Lithuania,2000,
22,Luxembourg,2000,455.714990537398
23,Mexico,2000,431.746581345402
24,Netherlands,2000,
25,New Zealand,2000,552.620956429257
26,Norway,2000,528.817850862043
27,Poland,2000,497.497815690137
28,Portugal,2000,482.370173422976
29,Slovak Republic,2000,
30,Slovenia,2000,
31,Spain,2000,505.351462163646
32,Sweden,2000,535.593572504756
33,Switzerland,2000,510.022852297926
34,Turkey,2000,
35,United Kingdom,2000,537.191260761825
36,United States,2000,518.241650183306
37,Albania,2000,377.554074201215
38,Albania (2015),2000,
39,Algeria,2000,
40,Argentina,2000,437.456756720125
41,Argentina (2015),2000,
42,Baku (Azerbaijan),2000,
43,Belarus,2000,
44,Bosnia and Herzegovina,2000,
45,Brazil,2000,404.302980785435
46,Brunei Darussalam,2000,
47,B-S-J-G (China),2000,
48,B-S-J-Z (China),2000,
49,Bulgaria,2000,454.707266656176
50,Chinese Taipei,2000,
51,Costa Rica,2000,
52,Croatia,2000,
53,Cyprus,2000,
54,Dominican Republic,2000,
55,Georgia,2000,
56,Hong Kong (China),2000,533.310325809319
57,Indonesia,2000,380.479121303758
58,Jordan,2000,
59,Kazakhstan,2000,
60,Kazakhstan (2015),2000,
61,Kosovo,2000,
62,Lebanon,2000,
63,Macao (China),2000,
64,Malaysia,2000,
65,Malaysia (2015),2000,
66,Malta,2000,
67,Moldova,2000,
68,Montenegro,2000,
69,Morocco,2000,
70,North Macedonia,2000,398.948255314623
71,Panama,2000,
72,Peru,2000,330.49241891139
73,Philippines,2000,
74,Qatar,2000,
75,Romania,2000,434.380366093369
76,Russia,2000,481.014928650472
77,Saudi Arabia,2000,
78,Serbia,2000,
79,Singapore,2000,
80,Thailand,2000,447.639530163979
81,Trinidad and Tobago,2000,
82,Tunisia,2000,
83,Ukraine,2000,
84,United Arab Emirates,2000,
85,Uruguay,2000,
86,Viet Nam,2000,
0,Australia,2003,545.425123677365
1,Austria,2003,514.353350003166
2,Belgium,2003,526.225709140233
3,Canada,2003,545.525388537352
4,Chile,2003,
5,Colombia,2003,
6,Czech Republic,2003,504.395833434034
7,Denmark,2003,504.796369531473
8,Estonia,2003,
9,Finland,2003,565.411552834528
10,France,2003,514.294505878075
11,Germany,2003,512.927051118019
12,Greece,2003,490.370608811126
13,Hungary,2003,498.204725796354
14,Iceland,2003,521.566182516134
15,Ireland,2003,530.100873268275
16,Israel,2003,
17,Italy,2003,494.585094742598
18,Japan,2003,508.981894805092
19,Korea,2003,546.731164781212
20,Latvia,2003,509.142766829747
21,Lithuania,2003,
22,Luxembourg,2003,495.663505771593
23,Mexico,2003,410.065401124822
24,Netherlands,2003,523.778151028197
25,New Zealand,2003,535.352671941154
26,Norway,2003,524.542528223445
27,Poland,2003,516.327810213351
28,Portugal,2003,494.861582579069
29,Slovak Republic,2003,485.820258641248
30,Slovenia,2003,
31,Spain,2003,499.78328946047
32,Sweden,2003,532.659245560204
33,Switzerland,2003,517.48535438885
34,Turkey,2003,459.311604186292
35,United Kingdom,2003,520.373092461528
36,United States,2003,511.302852093294
37,Albania,2003,
38,Albania (2015),2003,
39,Algeria,2003,
40,Argentina,2003,
41,Argentina (2015),2003,
42,Baku (Azerbaijan),2003,
43,Belarus,2003,
44,Bosnia and Herzegovina,2003,
45,Brazil,2003,418.850414436387
46,Brunei Darussalam,2003,
47,B-S-J-G (China),2003,
48,B-S-J-Z (China),2003,
49,Bulgaria,2003,
50,Chinese Taipei,2003,
51,Costa Rica,2003,
52,Croatia,2003,
53,Cyprus,2003,
54,Dominican Republic,2003,
55,Georgia,2003,
56,Hong Kong (China),2003,525.359532968652
57,Indonesia,2003,393.523291817496
58,Jordan,2003,
59,Kazakhstan,2003,
60,Kazakhstan (2015),2003,
61,Kosovo,2003,
62,Lebanon,2003,
63,Macao (China),2003,504.09074376255
64,Malaysia,2003,
65,Malaysia (2015),2003,
66,Malta,2003,
67,Moldova,2003,
68,Montenegro,2003,
69,Morocco,2003,
70,North Macedonia,2003,
71,Panama,2003,
72,Peru,2003,
73,Philippines,2003,
74,Qatar,2003,
75,Romania,2003,
76,Russia,2003,456.363055490847
77,Saudi Arabia,2003,
78,Serbia,2003,
79,Singapore,2003,
80,Thailand,2003,439.167756039526
81,Trinidad and Tobago,2003,
82,Tunisia,2003,387.103210845367
83,Ukraine,2003,
84,United Arab Emirates,2003,
85,Uruguay,2003,453.318315026923
86,Viet Nam,2003,
0,Australia,2006,531.75438775336
1,Austria,2006,512.912206553177
2,Belgium,2006,521.72831449381
3,Canada,2006,543.043598461907
4,Chile,2006,451.25197209454
5,Colombia,2006,393.913354697273
6,Czech Republic,2006,508.607677299294
7,Denmark,2006,509.298658251381
8,Estonia,2006,524.186344783939
9,Finland,2006,571.987035237046
10,France,2006,504.628987896203
11,Germany,2006,516.620372961409
12,Greece,2006,488.148882472383
13,Hungary,2006,502.977576867357
14,Iceland,2006,508.865417854755
15,Ireland,2006,534.001287072825
16,Israel,2006,459.538284339171
17,Italy,2006,488.976680533566
18,Japan,2006,513.285638044692
19,Korea,2006,573.781293546302
20,Latvia,2006,503.803591314164
21,Lithuania,2006,496.246398902788
22,Luxembourg,2006,495.3994766359
23,Mexico,2006,426.66666622479
24,Netherlands,2006,519.045583053347
25,New Zealand,2006,539.117653338667
26,Norway,2006,508.041622047245
27,Poland,2006,527.565470213473
28,Portugal,2006,488.168148537539
29,Slovak Republic,2006,487.757837671501
30,Slovenia,2006,521.105266528728
31,Spain,2006,478.724932574069
32,Sweden,2006,528.058807805912
33,Switzerland,2006,515.17189023192
34,Turkey,2006,471.04241502347
35,United Kingdom,2006,509.53070962801
36,United States,2006,
37,Albania,2006,
38,Albania (2015),2006,
39,Algeria,2006,
40,Argentina,2006,399.105552005901
41,Argentina (2015),2006,
42,Baku (Azerbaijan),2006,
43,Belarus,2006,
44,Bosnia and Herzegovina,2006,
45,Brazil,2006,407.553196363457
46,Brunei Darussalam,2006,
47,B-S-J-G (China),2006,
48,B-S-J-Z (China),2006,
49,Bulgaria,2006,432.106060806157
50,Chinese Taipei,2006,507.374530281225
51,Costa Rica,2006,
52,Croatia,2006,502.27026028057
53,Cyprus,2006,
54,Dominican Republic,2006,
55,Georgia,2006,
56,Hong Kong (China),2006,551.433366162049
57,Indonesia,2006,402.122806228909
58,Jordan,2006,428.134305864862
59,Kazakhstan,2006,
60,Kazakhstan (2015),2006,
61,Kosovo,2006,
62,Lebanon,2006,
63,Macao (China),2006,505.47313671763
64,Malaysia,2006,
65,Malaysia (2015),2006,
66,Malta,2006,
67,Moldova,2006,
68,Montenegro,2006,415.254377652826
69,Morocco,2006,
70,North Macedonia,2006,
71,Panama,2006,
72,Peru,2006,
73,Philippines,2006,
74,Qatar,2006,345.536919020482
75,Romania,2006,417.860460944295
76,Russia,2006,458.018216279032
77,Saudi Arabia,2006,
78,Serbia,2006,
79,Singapore,2006,
80,Thailand,2006,439.866549333794
81,Trinidad and Tobago,2006,
82,Tunisia,2006,398.347591565745
83,Ukraine,2006,
84,United Arab Emirates,2006,
85,Uruguay,2006,434.578215485824
86,Viet Nam,2006,
0,Australia,2009,532.853721236498
1,Austria,2009,490.487348475081
2,Belgium,2009,519.80607331557
3,Canada,2009,541.527232962596
4,Chile,2009,460.62096986551
5,Colombia,2009,417.608491173343
6,Czech Republic,2009,503.97955058074
7,Denmark,2009,509.188080882647
8,Estonia,2009,523.837036299167
9,Finland,2009,563.481814266687
10,France,2009,515.181137626
11,Germany,2009,517.589411451025
12,Greece,2009,505.925069179166
13,Hungary,2009,513.254288413115
14,Iceland,2009,522.24505033406
15,Ireland,2009,515.478484429909
16,Israel,2009,494.737000169714
17,Italy,2009,509.547561190661
18,Japan,2009,539.934740363215
19,Korea,2009,557.982544599607
20,Latvia,2009,507.342494795658
21,Lithuania,2009,498.223320583915
22,Luxembourg,2009,492.136453611722
23,Mexico,2009,437.578500009516
24,Netherlands,2009,520.508562533563
25,New Zealand,2009,544.175237353165
26,Norway,2009,527.397287449512
27,Poland,2009,525.323156407643
28,Portugal,2009,507.934143921493
29,Slovak Republic,2009,502.874423032179
30,Slovenia,2009,511.029896682478
31,Spain,2009,495.735519373231
32,Sweden,2009,520.559413347026
33,Switzerland,2009,520.239946560878
34,Turkey,2009,486.300444534355
35,United Kingdom,2009,506.51286485083
36,United States,2009,512.518387817225
37,Albania,2009,416.70712809817
38,Albania (2015),2009,
39,Algeria,2009,
40,Argentina,2009,415.178249670464
41,Argentina (2015),2009,
42,Baku (Azerbaijan),2009,
43,Belarus,2009,
44,Bosnia and Herzegovina,2009,
45,Brazil,2009,425.183035128772
46,Brunei Darussalam,2009,
47,B-S-J-G (China),2009,
48,B-S-J-Z (China),2009,
49,Bulgaria,2009,460.786699589408
50,Chinese Taipei,2009,513.898111147876
51,Costa Rica,2009,
52,Croatia,2009,502.850718540232
53,Cyprus,2009,
54,Dominican Republic,2009,
55,Georgia,2009,
56,Hong Kong (China),2009,550.359625565831
57,Indonesia,2009,419.801980729016
58,Jordan,2009,433.634879841022
59,Kazakhstan,2009,412.092423127216
60,Kazakhstan (2015),2009,
61,Kosovo,2009,
62,Lebanon,2009,
63,Macao (China),2009,503.936413633891
64,Malaysia,2009,
65,Malaysia (2015),2009,
66,Malta,2009,
67,Moldova,2009,
68,Montenegro,2009,434.454128357514
69,Morocco,2009,
70,North Macedonia,2009,
71,Panama,2009,
72,Peru,2009,380.883442250066
73,Philippines,2009,
74,Qatar,2009,397.293103440654
75,Romania,2009,445.337078134356
76,Russia,2009,481.522380045842
77,Saudi Arabia,2009,
78,Serbia,2009,
79,Singapore,2009,541.762383164111
80,Thailand,2009,437.655987113784
81,Trinidad and Tobago,2009,445.116986458703
82,Tunisia,2009,418.469564033057
83,Ukraine,2009,
84,United Arab Emirates,2009,
85,Uruguay,2009,445.424598764282
86,Viet Nam,2009,
0,Australia,2012,529.542280475006
1,Austria,2012,508.02147249484
2,Belgium,2012,524.602441858833
3,Canada,2012,540.653353398976
4,Chile,2012,452.371146423155
5,Colombia,2012,412.136656009521
6,Czech Republic,2012,512.790193303537
7,Denmark,2012,511.528855153907
8,Estonia,2012,537.832866870933
9,Finland,2012,555.70815405298
10,France,2012,526.765409823948
11,Germany,2012,530.119112517984
12,Greece,2012,502.197788950734
13,Hungary,2012,507.548867423925
14,Iceland,2012,508.389846986123
15,Ireland,2012,537.668885259484
16,Israel,2012,507.451094331498
17,Italy,2012,509.945279866508
18,Japan,2012,550.72353684459
19,Korea,2012,548.206690326574
20,Latvia,2012,516.306215175853
21,Lithuania,2012,505.069832677518
22,Luxembourg,2012,503.023527546459
23,Mexico,2012,435.272499126533
24,Netherlands,2012,524.760775750999
25,New Zealand,2012,529.765066216983
26,Norway,2012,527.771189002949
27,Poland,2012,538.686545815532
28,Portugal,2012,507.562098653809
29,Slovak Republic,2012,483.303106350054
30,Slovenia,2012,510.149539301336
31,Spain,2012,502.510818145614
32,Sweden,2012,509.134939246288
33,Switzerland,2012,527.063513613425
34,Turkey,2012,498.639974370092
35,United Kingdom,2012,511.53377456921
36,United States,2012,513.268607928944
37,Albania,2012,401.482979276178
38,Albania (2015),2012,
39,Algeria,2012,
40,Argentina,2012,414.251513632093
41,Argentina (2015),2012,
42,Baku (Azerbaijan),2012,
43,Belarus,2012,
44,Bosnia and Herzegovina,2012,
45,Brazil,2012,421.813970503686
46,Brunei Darussalam,2012,
47,B-S-J-G (China),2012,
48,B-S-J-Z (China),2012,
49,Bulgaria,2012,472.174646041055
50,Chinese Taipei,2012,538.9623531251
51,Costa Rica,2012,452.308650057418
52,Croatia,2012,509.180277256467
53,Cyprus,2012,481.475843314129
54,Dominican Republic,2012,
55,Georgia,2012,
56,Hong Kong (China),2012,558.257725633063
57,Indonesia,2012,410.408475667069
58,Jordan,2012,435.999123611512
59,Kazakhstan,2012,411.084097854278
60,Kazakhstan (2015),2012,
61,Kosovo,2012,
62,Lebanon,2012,
63,Macao (China),2012,527.226938279218
64,Malaysia,2012,417.575436941709
65,Malaysia (2015),2012,
66,Malta,2012,
67,Moldova,2012,
68,Montenegro,2012,452.994906240148
69,Morocco,2012,
70,North Macedonia,2012,
71,Panama,2012,
72,Peru,2012,394.700707636795
73,Philippines,2012,
74,Qatar,2012,423.730057291891
75,Romania,2012,457.367840982394
76,Russia,2012,495.143866117025
77,Saudi Arabia,2012,
78,Serbia,2012,
79,Singapore,2012,558.59595212621
80,Thailand,2012,465.42894035728
81,Trinidad and Tobago,2012,
82,Tunisia,2012,418.324359530664
83,Ukraine,2012,
84,United Arab Emirates,2012,468.785253351631
85,Uruguay,2012,427.980513057828
86,Viet Nam,2012,522.529891954641
0,Australia,2015,518.865799120213
1,Austria,2015,495.07519033025
2,Belgium,2015,506.63859869972
3,Canada,2015,539.762385658547
4,Chile,2015,464.561641732906
5,Colombia,2015,432.281926231275
6,Czech Republic,2015,500.652659595072
7,Denmark,2015,510.951613076993
8,Estonia,2015,533.361981628012
9,Finland,2015,550.511162148002
10,France,2015,513.764020393999
11,Germany,2015,519.67410923845
12,Greece,2015,486.460030254077
13,Hungary,2015,481.959565919583
14,Iceland,2015,501.716697357936
15,Ireland,2015,526.949084788245
16,Israel,2015,490.164951856263
17,Italy,2015,492.709122162747
18,Japan,2015,522.655281325394
19,Korea,2015,538.609218131824
20,Latvia,2015,508.825068339134
21,Lithuania,2015,492.242316528432
22,Luxembourg,2015,492.034823179022
23,Mexico,2015,431.23221379366
24,Netherlands,2015,514.703455843898
25,New Zealand,2015,525.519855770512
26,Norway,2015,533.355999861462
27,Poland,2015,520.674639957324
28,Portugal,2015,506.551767469028
29,Slovak Republic,2015,470.862720285388
30,Slovenia,2015,527.553867112432
31,Spain,2015,505.6847199535
32,Sweden,2015,519.94981495351
33,Switzerland,2015,505.373160192907
34,Turkey,2015,442.246079546969
35,United Kingdom,2015,509.090391460714
36,United States,2015,506.975196920109
37,Albania,2015,
38,Albania (2015),2015,434.639626496817
39,Algeria,2015,366.208166731262
40,Argentina,2015,
41,Argentina (2015),2015,432.958079751284
42,Baku (Azerbaijan),2015,
43,Belarus,2015,
44,Bosnia and Herzegovina,2015,
45,Brazil,2015,418.561682579084
46,Brunei Darussalam,2015,
47,B-S-J-G (China),2015,502.558577071651
48,B-S-J-Z (China),2015,
49,Bulgaria,2015,456.598565215151
50,Chinese Taipei,2015,509.872191320803
51,Costa Rica,2015,434.874834086137
52,Croatia,2015,499.585793058163
53,Cyprus,2015,468.658333772652
54,Dominican Republic,2015,372.780583455507
55,Georgia,2015,431.881966693098
56,Hong Kong (China),2015,540.984419138577
57,Indonesia,2015,408.999417221033
58,Jordan,2015,443.596393718929
59,Kazakhstan,2015,
60,Kazakhstan (2015),2015,435.383616252642
61,Kosovo,2015,365.359565804899
62,Lebanon,2015,353.277296411151
63,Macao (China),2015,524.538927284374
64,Malaysia,2015,
65,Malaysia (2015),2015,445.356702757213
66,Malta,2015,468.05808967309
67,Moldova,2015,442.185006296213
68,Montenegro,2015,444.179105653199
69,Morocco,2015,
70,North Macedonia,2015,375.837965596615
71,Panama,2015,
72,Peru,2015,401.424689270751
73,Philippines,2015,
74,Qatar,2015,428.954620504571
75,Romania,2015,442.383386799069
76,Russia,2015,507.483307125572
77,Saudi Arabia,2015,
78,Serbia,2015,
79,Singapore,2015,545.558478598074
80,Thailand,2015,422.553258713508
81,Trinidad and Tobago,2015,452.441159843808
82,Tunisia,2015,372.672552550882
83,Ukraine,2015,
84,United Arab Emirates,2015,458.287029869358
85,Uruguay,2015,447.719605850755
86,Viet Nam,2015,499.038588513836
0,Australia,2018,518.572083893645
1,Austria,2018,498.652688460702
2,Belgium,2018,503.687234787241
3,Canada,2018,534.669187058482
4,Chile,2018,462.302439920258
5,Colombia,2018,417.356221975006
6,Czech Republic,2018,507.180001135861
7,Denmark,2018,515.814342453077
8,Estonia,2018,538.352885204562
9,Finland,2018,546.341708089488
10,France,2018,505.223672047332
11,Germany,2018,512.208993182658
12,Greece,2018,478.786282377371
13,Hungary,2018,489.107893248306
14,Iceland,2018,494.146417970594
15,Ireland,2018,529.624902487382
16,Israel,2018,493.203757275494
17,Italy,2018,489.082703622924
18,Japan,2018,513.820504211867
19,Korea,2018,526.406274552825
20,Latvia,2018,494.844375248373
21,Lithuania,2018,495.628341750699
22,Luxembourg,2018,484.813844293879
23,Mexico,2018,425.800462324181
24,Netherlands,2018,499.245394448824
25,New Zealand,2018,520.262374432225
26,Norway,2018,523.197443115188
27,Poland,2018,528.2433527891
28,Portugal,2018,504.10346019603
29,Slovak Republic,2018,475.079777672402
30,Slovenia,2018,516.711050494328
31,Spain,2018,
32,Sweden,2018,522.955079693534
33,Switzerland,2018,500.035214273947
34,Turkey,2018,478.380324024545
35,United Kingdom,2018,513.699025587031
36,United States,2018,517.38086298529
37,Albania,2018,424.622692818461
38,Albania (2015),2018,
39,Algeria,2018,
40,Argentina,2018,409.41408092024
41,Argentina (2015),2018,
42,Baku (Azerbaijan),2018,402.810589018636
43,Belarus,2018,485.618047330091
44,Bosnia and Herzegovina,2018,418.176130174354
45,Brazil,2018,425.710647907961
46,Brunei Darussalam,2018,423.082610092491
47,B-S-J-G (China),2018,
48,B-S-J-Z (China),2018,561.888883148305
49,Bulgaria,2018,441.256783529924
50,Chinese Taipei,2018,513.597724035534
51,Costa Rica,2018,433.603075552898
52,Croatia,2018,495.322008232741
53,Cyprus,2018,448.359714161765
54,Dominican Republic,2018,357.114971312738
55,Georgia,2018,399.472085012945
56,Hong Kong (China),2018,542.079078241824
57,Indonesia,2018,383.432730040507
58,Jordan,2018,444.155644541694
59,Kazakhstan,2018,400.728598910232
60,Kazakhstan (2015),2018,
61,Kosovo,2018,365.677389995682
62,Lebanon,2018,366.325683532334
63,Macao (China),2018,536.269313887642
64,Malaysia,2018,427.706979568363
65,Malaysia (2015),2018,
66,Malta,2018,473.550171743812
67,Moldova,2018,444.598528250321
68,Montenegro,2018,436.82639895457
69,Morocco,2018,372.930831011267
70,North Macedonia,2018,419.779745775986
71,Panama,2018,384.103805980244
72,Peru,2018,405.878946530809
73,Philippines,2018,352.319484285215
74,Qatar,2018,440.249474338222
75,Romania,2018,445.164070258016
76,Russia,2018,491.021512114399
77,Saudi Arabia,2018,427.166081687158
78,Serbia,2018,457.910091004194
79,Singapore,2018,561.29350942188
80,Thailand,2018,411.108619855804
81,Trinidad and Tobago,2018,
82,Tunisia,2018,
83,Ukraine,2018,483.558511816981
84,United Arab Emirates,2018,459.767281767847
85,Uruguay,2018,438.125089016031
86,Viet Nam,2018,
